"Window","Train_Start","Train_End","Train_Months","Test_Start","Test_End","Test_Months","N_Nodes","Mean_Return_pct","Sharpe_Ratio","Runtime_Sec"
1,"1997-02-28","2002-01-31",60,"2002-02-28","2003-01-31",12,19,35.1676158014128,3.1874489191887,0.781000000000002
2,"1998-02-27","2004-01-30",72,"2004-02-27","2005-01-31",12,19,43.0780614689599,10.247924892836,0.917999999999999
3,"1999-02-26","2006-01-31",84,"2006-02-28","2007-01-31",12,19,31.2386296032316,5.24285708137868,1.242
4,"2000-02-29","2008-01-31",96,"2008-02-29","2009-01-30",12,19,60.9161620135733,5.24126091581395,1.541
5,"2001-02-28","2010-01-29",108,"2010-02-26","2011-01-31",12,19,22.8304185905862,3.68550739905941,1.61
6,"2002-02-28","2012-01-31",120,"2012-02-29","2013-01-31",12,19,29.286349770448,3.08085958111372,1.923
7,"2003-02-28","2014-01-31",132,"2014-02-28","2015-01-30",12,19,40.9799755083562,6.36491172589527,2.169
8,"2004-02-27","2016-01-29",144,"2016-02-29","2017-01-31",12,19,33.6571692316106,6.90793335058687,2.496
9,"2005-02-28","2018-01-31",156,"2018-02-28","2019-01-31",12,19,30.6411941822937,5.41194046833239,2.762
10,"2006-02-28","2020-01-31",168,"2020-02-28","2021-01-29",12,19,39.8760775120156,4.9060044857491,3.067
