ric,date,close,adj_close,volume_msum,ret,dolvol,std_dolvol_3m,mom_12_1,mom_6,mom_36,rvar_3m
ERICb.ST,2015-01-31,100.9,100.9,0,0.06942236354001063,0.0,0.0,0.17937499999999962,0.10415447630193087,0.0,0.0016379578853153447
ERICb.ST,2015-02-28,108.1,108.1,0,0.07135777998017834,0.0,0.0,0.21419975932611313,0.15777395295467556,0.0,0.0014352909346739134
ERICb.ST,2015-03-31,108.4,108.4,9304882,0.0027752081406107187,1008649208.8000001,582343892.218583,0.2540603248259854,0.1801310043668123,0.0,0.0015248597199596817
ERICb.ST,2015-04-30,91.45,91.45,12655178,-0.15636531365313655,1157316028.1000001,629663327.8282934,0.3808917197452226,0.24597701149425277,0.0,0.013647847035140518
ERICb.ST,2015-05-31,95.7,95.7,0,0.046473482777473984,0.0,629663327.8282933,0.0906380441264163,-0.026091586794462218,0.0,0.011396470370073925
ERICb.ST,2015-06-30,85.9,85.9,14909347,-0.10240334378265414,1280712907.3000002,706497550.0804749,0.18513931888544888,0.014308426073132097,0.0,0.011036630169389333
ERICb.ST,2015-07-31,92.3,92.3,4466867,0.07450523864959235,412291824.09999996,653753939.0436825,0.0052662375658278915,-0.14866204162537167,0.0,0.009041122560345914
ERICb.ST,2015-08-31,82.55,82.55,5978466,-0.10563380281690138,493522368.3,479656565.2888881,0.05909351692484188,-0.14616096207215545,0.0,0.010626192777371011
ERICb.ST,2015-09-30,82.2,82.2,8507569,-0.004239854633555362,699322171.8000001,147951783.211316,-0.09879912663755475,-0.23846863468634694,0.0,0.00815526611747431
ERICb.ST,2015-10-31,83.35,83.35,0,0.013990267639902632,0.0,359390545.9487743,-0.05517241379310389,-0.10114816839803187,0.0,0.004153831386494451
ERICb.ST,2015-11-30,84.95,84.95,10878229,0.019196160767846582,924105553.5500001,481931900.92653596,-0.11235356762513327,-0.1290491118077326,0.0,0.00015144758320992678
ERICb.ST,2015-12-31,82.3,82.3,0,-0.031194820482636887,0.0,533532590.1017207,-0.09962904080551127,-0.01105937136204882,0.0,0.000768007417214637
